Actual,holdout_id,name,value
-11.174285450155168,27,pred_svm,-11.503367835344648
-11.070354264754666,28,pred_glm,-12.130694855298568
-11.070354264754666,28,pred_glmaic,-12.1016219830848
-11.070354264754666,28,pred_mars,-11.115634915897122
-11.070354264754666,28,pred_rf,-11.676251465678934
-11.070354264754666,28,pred_svm,-12.078174444153328
-11.828381209980574,29,pred_glm,-9.223264714843022
-11.828381209980574,29,pred_glmaic,-8.914630086268524
-11.828381209980574,29,pred_mars,-8.98694272978235
-11.828381209980574,29,pred_rf,-9.701021252335734
-11.828381209980574,29,pred_svm,-9.112905883755149
-8.866824814095951,30,pred_glm,-9.435650368423858
-8.866824814095951,30,pred_glmaic,-9.472535042383154
-8.866824814095951,30,pred_mars,-9.328603054842985
-8.866824814095951,30,pred_rf,-9.517856204417404
-8.866824814095951,30,pred_svm,-9.247751709289245
-10.909369444557445,31,pred_glm,-9.921796800828178
-10.909369444557445,31,pred_glmaic,-9.794075890469948
-10.909369444557445,31,pred_mars,-9.93771915490199
-10.909369444557445,31,pred_rf,-9.953508208496894
-10.909369444557445,31,pred_svm,-10.053936145368478
-10.884017091011938,32,pred_glm,-10.93060127726677
-10.884017091011938,32,pred_glmaic,-10.768232460888878
-10.884017091011938,32,pred_mars,-10.955709306447165
-10.884017091011938,32,pred_rf,-11.215062055991885
-10.884017091011938,32,pred_svm,-10.84096612762684
-8.232003453668545,33,pred_glm,-8.928229228264582
-8.232003453668545,33,pred_glmaic,-8.81367552054517
-8.232003453668545,33,pred_mars,-8.647313481430176
-8.232003453668545,33,pred_rf,-8.276151089680546
-8.232003453668545,33,pred_svm,-8.421247421585068
-8.299601292508145,34,pred_glm,-8.767056859658378
-8.299601292508145,34,pred_glmaic,-8.880603162247109
-8.299601292508145,34,pred_mars,-8.838382151579228
-8.299601292508145,34,pred_rf,-9.137437911225994
-8.299601292508145,34,pred_svm,-8.732300729502706
-10.489428876288326,35,pred_glm,-10.561862199404679
-10.489428876288326,35,pred_glmaic,-10.688785436327306
-10.489428876288326,35,pred_mars,-10.896708952773155
-10.489428876288326,35,pred_rf,-10.450495567282045
-10.489428876288326,35,pred_svm,-10.832745472210668
-9.406632897637422,36,pred_glm,-9.495968924065355
-9.406632897637422,36,pred_glmaic,-9.413638052311633
-9.406632897637422,36,pred_mars,-9.494107350172289
-9.406632897637422,36,pred_rf,-9.511582497247662
-9.406632897637422,36,pred_svm,-9.489023267085855
-6.563875040200229,37,pred_glm,-7.419345770936231
-6.563875040200229,37,pred_glmaic,-7.487010692144125
-6.563875040200229,37,pred_mars,-7.263913908036058
-6.563875040200229,37,pred_rf,-7.482880597945222
-6.563875040200229,37,pred_svm,-7.3006175787944425
-9.756201193249249,38,pred_glm,-9.552309495870947
-9.756201193249249,38,pred_glmaic,-9.511275509949357
-9.756201193249249,38,pred_mars,-9.597393839139079
-9.756201193249249,38,pred_rf,-9.663782775284155
-9.756201193249249,38,pred_svm,-9.586592918264184
-10.8985138381602,39,pred_glm,-10.587299226547144
-10.8985138381602,39,pred_glmaic,-10.43381203440173
-10.8985138381602,39,pred_mars,-10.89825894934258
-10.8985138381602,39,pred_rf,-10.165391100765946
-10.8985138381602,39,pred_svm,-10.847986811076156
-11.43388585530728,40,pred_glm,-11.459086106988842
-11.43388585530728,40,pred_glmaic,-11.493846422580637
-11.43388585530728,40,pred_mars,-11.15947207026188
-11.43388585530728,40,pred_rf,-11.517819634253573
-11.43388585530728,40,pred_svm,-11.322480510109663
-6.673228325195951,41,pred_glm,-6.9817934022303385
-6.673228325195951,41,pred_glmaic,-6.721948084098155
-6.673228325195951,41,pred_mars,-6.607467357046709
-6.673228325195951,41,pred_rf,-6.496824686254397
-6.673228325195951,41,pred_svm,-6.442912613342015
-9.03153049698431,42,pred_glm,-7.150564998603289
-9.03153049698431,42,pred_glmaic,-7.1878647556083965
-9.03153049698431,42,pred_mars,-6.902205249268686
-9.03153049698431,42,pred_rf,-6.981743543302281
-9.03153049698431,42,pred_svm,-6.508271947194862
-8.431792445605806,43,pred_glm,-8.819059462235499
-8.431792445605806,43,pred_glmaic,-8.904695778384692
-8.431792445605806,43,pred_mars,-8.919471179312776
-8.431792445605806,43,pred_rf,-8.856462825263897
-8.431792445605806,43,pred_svm,-8.797569378391447
-9.952357771475686,44,pred_glm,-9.987127394249228
-9.952357771475686,44,pred_glmaic,-10.028702085542072
-9.952357771475686,44,pred_mars,-10.124755826639575
-9.952357771475686,44,pred_rf,-9.990910512207805
-9.952357771475686,44,pred_svm,-10.063339770207698
-9.127526973297277,45,pred_glm,-7.744800929883539
-9.127526973297277,45,pred_glmaic,-8.109167980646289
-9.127526973297277,45,pred_mars,-7.86611085460405
-9.127526973297277,45,pred_rf,-7.796020980601701
-9.127526973297277,45,pred_svm,-7.749778029544244
-11.010413600087576,46,pred_glm,-10.477312017792663
-11.010413600087576,46,pred_glmaic,-10.435058753763732
-11.010413600087576,46,pred_mars,-10.718032867184341
-11.010413600087576,46,pred_rf,-10.684288267419777
-11.010413600087576,46,pred_svm,-10.64844792444551
-10.891242005237821,47,pred_glm,-11.984609257868424
-10.891242005237821,47,pred_glmaic,-11.927896046902719
-10.891242005237821,47,pred_mars,-11.09326687737578
-10.891242005237821,47,pred_rf,-11.990987255214819
-10.891242005237821,47,pred_svm,-11.936872908978778
-9.088230935280336,48,pred_glm,-10.199696225560404
-9.088230935280336,48,pred_glmaic,-10.139603062297155
-9.088230935280336,48,pred_mars,-10.235229399643718
-9.088230935280336,48,pred_rf,-10.181677305875331
-9.088230935280336,48,pred_svm,-10.214984703807943
-12.034499250790756,49,pred_glm,-11.082766662779111
-12.034499250790756,49,pred_glmaic,-11.040290728226292
-12.034499250790756,49,pred_mars,-11.056652146287163
-12.034499250790756,49,pred_rf,-11.528723596302427
-12.034499250790756,49,pred_svm,-11.212645757113672
-13.781256497665375,50,pred_glm,-12.495876745062246
-13.781256497665375,50,pred_glmaic,-12.458284957317836
-13.781256497665375,50,pred_mars,-11.12309024299449
-13.781256497665375,50,pred_rf,-11.796679410668746
-13.781256497665375,50,pred_svm,-12.41435704155112
-11.89424410371553,51,pred_glm,-10.227482504273487
-11.89424410371553,51,pred_glmaic,-10.499076355995708
-11.89424410371553,51,pred_mars,-10.679319734303286
-11.89424410371553,51,pred_rf,-10.508303153659893
-11.89424410371553,51,pred_svm,-10.357685347158336
-10.874381586601261,52,pred_glm,-10.774039062136989
-10.874381586601261,52,pred_glmaic,-10.832190940665209
-10.874381586601261,52,pred_mars,-11.037442653649991
-10.874381586601261,52,pred_rf,-10.866276180317437
-10.874381586601261,52,pred_svm,-10.894634573989986
-10.891242005237821,53,pred_glm,-10.94258845228511
-10.891242005237821,53,pred_glmaic,-10.914583908788552
-10.891242005237821,53,pred_mars,-11.3538437782726
-10.891242005237821,53,pred_rf,-11.261378915997593
-10.891242005237821,53,pred_svm,-10.900308065732638
-8.898861773585308,54,pred_glm,-10.818948257672918
-8.898861773585308,54,pred_glmaic,-10.790753401945166
-8.898861773585308,54,pred_mars,-11.036954174587395
-8.898861773585308,54,pred_rf,-10.149497420517498
-8.898861773585308,54,pred_svm,-10.719220161972409
-9.85583184568052,55,pred_glm,-10.15155451352571
-9.85583184568052,55,pred_glmaic,-10.21044194032049
-9.85583184568052,55,pred_mars,-10.365302008112565
-9.85583184568052,55,pred_rf,-10.274670390194114
-9.85583184568052,55,pred_svm,-10.313977964783504
-10.915618753721827,56,pred_glm,-10.97552733604923
-10.915618753721827,56,pred_glmaic,-10.980356807987643
-10.915618753721827,56,pred_mars,-10.57795667911522
-10.915618753721827,56,pred_rf,-10.995943308996077
-10.915618753721827,56,pred_svm,-10.518731995191885
-7.731202408727926,57,pred_glm,-7.862824354660771
-7.731202408727926,57,pred_glmaic,-7.6291863806861295
-7.731202408727926,57,pred_mars,-7.416369601749676
